GEOID,Borough,NTA,p_college_pop_2000
36005000200,Bronx,Soundview-Castle Hill-Clason Point-Harding Park,0.05059781388492127
36005000400,Bronx,Soundview-Castle Hill-Clason Point-Harding Park,0.0681361120716647
36005001600,Bronx,Soundview-Castle Hill-Clason Point-Harding Park,0.0668816430816283
36005001900,Bronx,Mott Haven-Port Morris,0.023703914539954744
36005002000,Bronx,Soundview-Castle Hill-Clason Point-Harding Park,0.03325055280461934
36005002300,Bronx,Mott Haven-Port Morris,0.03206412663655505
36005002500,Bronx,Mott Haven-Port Morris,0.017578345258116246
36005002701,Bronx,Mott Haven-Port Morris,0.05304525553394835
36005002702,Bronx,Mott Haven-Port Morris,0.013905143595869139
36005002800,Bronx,Soundview-Castle Hill-Clason Point-Harding Park,0.09123987794520091
36005003100,Bronx,Mott Haven-Port Morris,0.07434672487368206
36005003300,Bronx,Mott Haven-Port Morris,0.015955876201358743
36005003500,Bronx,Mott Haven-Port Morris,0.043860870385146446
36005003700,Bronx,Mott Haven-Port Morris,0.03803727566536303
36005003800,Bronx,Soundview-Castle Hill-Clason Point-Harding Park,0.0446312533915623
36005003900,Bronx,Mott Haven-Port Morris,0.020624662763203214
36005004001,Bronx,Soundview-Bruckner,0.1373271684649293
36005004100,Bronx,Mott Haven-Port Morris,0.015068540095834469
36005004200,Bronx,Soundview-Castle Hill-Clason Point-Harding Park,0.0673146505190336
36005004300,Bronx,Mott Haven-Port Morris,0.020656570504512136
36005004400,Bronx,Soundview-Bruckner,0.03695428904883916
36005004600,Bronx,Soundview-Castle Hill-Clason Point-Harding Park,0.07323475703261365
36005004800,Bronx,Soundview-Bruckner,0.04177699079302691
36005005001,Bronx,Soundview-Bruckner,0.029358229184280608
36005005002,Bronx,Soundview-Bruckner,0.04791535121620702
36005005100,Bronx,Mott Haven-Port Morris,0.015076672033802821
36005005200,Bronx,Soundview-Bruckner,0.024556869001896773
36005005300,Bronx,University Heights-Morris Heights,0.04703244862890723
36005005400,Bronx,West Farms-Bronx River,0.02774948506702471
36005005600,Bronx,West Farms-Bronx River,0.05449443784686375
36005005902,Bronx,East Concourse-Concourse Village,0.1308331859433575
36005006000,Bronx,Crotona Park East,0.034079068227749774
36005006100,Bronx,East Concourse-Concourse Village,0.12890415792003249
36005006200,Bronx,West Farms-Bronx River,0.03999670548943135
36005006300,Bronx,West Concourse,0.03834037132682382
36005006400,Bronx,West Farms-Bronx River,0.08480293789037299
36005006500,Bronx,Melrose South-Mott Haven North,0.06619228291375276
36005006700,Bronx,Melrose South-Mott Haven North,0.010337003839604833
36005006800,Bronx,Soundview-Bruckner,0.06721010696270997
36005006900,Bronx,Melrose South-Mott Haven North,0.03214228313267388
36005007000,Bronx,Soundview-Bruckner,0.07602261235413796
36005007100,Bronx,Melrose South-Mott Haven North,0.05702579199519179
36005007200,Bronx,Soundview-Bruckner,0.0935390198712949
36005007300,Bronx,Melrose South-Mott Haven North,0.022817370999708857
36005007400,Bronx,Soundview-Castle Hill-Clason Point-Harding Park,0.14106131462446636
36005007500,Bronx,Melrose South-Mott Haven North,0.044989842117408946
36005007600,Bronx,West Farms-Bronx River,0.07446980749961925
36005007700,Bronx,Melrose South-Mott Haven North,0.021973418674831203
36005007800,Bronx,Westchester-Unionport,0.0705430165519903
36005007900,Bronx,Melrose South-Mott Haven North,0.026777775591354556
36005008300,Bronx,Longwood,0.026109268629387873
36005008400,Bronx,Soundview-Castle Hill-Clason Point-Harding Park,0.0911189538580875
36005008500,Bronx,Longwood,0.0405786580321599
36005008600,Bronx,Soundview-Castle Hill-Clason Point-Harding Park,0.022151285511269776
36005008700,Bronx,Longwood,0.030948813154011465
36005008900,Bronx,Hunts Point,0.04707254304387053
36005009000,Bronx,Soundview-Castle Hill-Clason Point-Harding Park,0.05567616244587795
36005009200,Bronx,Westchester-Unionport,0.1000184242895278
36005009300,Bronx,Hunts Point,0.019674254782021932
36005009600,Bronx,Westchester-Unionport,0.0999542164924633
36005009800,Bronx,Westchester-Unionport,0.1014652567086604
36005011000,Bronx,Schuylerville-Throgs Neck-Edgewater Park,0.11683667884740637
36005011502,Bronx,Hunts Point,0.015225105956837457
36005011700,Bronx,Hunts Point,0.020361972588019285
36005011800,Bronx,Schuylerville-Throgs Neck-Edgewater Park,0.1396000397335283
36005011900,Bronx,Hunts Point,0.025490297660267572
36005012101,Bronx,Morrisania-Melrose,0.05314290091143955
36005012102,Bronx,Hunts Point,0.014690722833324382
36005012300,Bronx,Crotona Park East,0.032646163617065044
36005012500,Bronx,Morrisania-Melrose,0.06563261753057636
36005012701,Bronx,Hunts Point,0.03356679963439661
36005012901,Bronx,Longwood,0.03244257153809293
36005013000,Bronx,Schuylerville-Throgs Neck-Edgewater Park,0.11178298739654238
36005013100,Bronx,Longwood,0.04893137388658663
36005013200,Bronx,Schuylerville-Throgs Neck-Edgewater Park,0.11252073343075132
36005013300,Bronx,Morrisania-Melrose,0.03911663501153412
36005013500,Bronx,Morrisania-Melrose,0.030872921866841787
36005013800,Bronx,Schuylerville-Throgs Neck-Edgewater Park,0.09782583116068484
36005014100,Bronx,Morrisania-Melrose,0.021482983594912988
36005014300,Bronx,East Concourse-Concourse Village,0.009859765303743655
36005014400,Bronx,Schuylerville-Throgs Neck-Edgewater Park,0.03830361631898278
36005014500,Bronx,Claremont-Bathgate,0.04256984889882677
36005014701,Bronx,Claremont-Bathgate,0.027790862823793398
36005014702,Bronx,Claremont-Bathgate,0.019422349923541103
36005014900,Bronx,Morrisania-Melrose,0.03225887411324501
36005015100,Bronx,Morrisania-Melrose,0.05008231887112668
36005015200,Bronx,Schuylerville-Throgs Neck-Edgewater Park,0.09863100435847125
36005015300,Bronx,Crotona Park East,0.05505086623104831
36005015500,Bronx,Crotona Park East,0.04375503921029232
36005015700,Bronx,Crotona Park East,0.035063641598582634
36005015800,Bronx,Schuylerville-Throgs Neck-Edgewater Park,0.0863846415604922
36005015900,Bronx,Hunts Point,0.04466532023262163
36005016000,Bronx,Schuylerville-Throgs Neck-Edgewater Park,0.1478920857694433
36005016100,Bronx,Crotona Park East,0.03177277827258742
36005016200,Bronx,Schuylerville-Throgs Neck-Edgewater Park,0.10622889260847743
36005016400,Bronx,Schuylerville-Throgs Neck-Edgewater Park,0.10828811688389695
36005016500,Bronx,Claremont-Bathgate,0.04805936140510241
36005016600,Bronx,Schuylerville-Throgs Neck-Edgewater Park,0.0924167676453616
36005016700,Bronx,Claremont-Bathgate,0.0068915287968641095
36005016900,Bronx,Claremont-Bathgate,0.03841312998680925
36005017300,Bronx,East Concourse-Concourse Village,0.026682204275678786
36005017500,Bronx,East Concourse-Concourse Village,0.034233709048541394
36005017701,Bronx,East Concourse-Concourse Village,0.029479427785035768
36005017702,Bronx,East Concourse-Concourse Village,0.02801623539984578
36005017901,Bronx,East Concourse-Concourse Village,0.024385945528552472
36005017902,Bronx,East Concourse-Concourse Village,0.04767238317245889
36005018101,Bronx,East Concourse-Concourse Village,0.0671983176779071
36005018102,Bronx,East Concourse-Concourse Village,0.04486600274368023
36005018301,Bronx,East Concourse-Concourse Village,0.13580372242905833
36005018302,Bronx,East Concourse-Concourse Village,0.03902352319105197
36005018400,Bronx,Schuylerville-Throgs Neck-Edgewater Park,0.12680199359998695
36005018500,Bronx,Morrisania-Melrose,0.04189601086294271
36005018900,Bronx,Highbridge,0.041600814635551375
36005019300,Bronx,Highbridge,0.03284981837658152
36005019400,Bronx,Schuylerville-Throgs Neck-Edgewater Park,0.09939606860339942
36005019500,Bronx,West Concourse,0.03834475274118265
36005019700,Bronx,West Concourse,0.03125707401953809
36005019900,Bronx,Highbridge,0.03159050997330576
36005020000,Bronx,Van Nest-Morris Park-Westchester Square,0.1078288748683565
36005020100,Bronx,Highbridge,0.04424346769471169
36005020200,Bronx,Westchester-Unionport,0.09678879568380598
36005020400,Bronx,Westchester-Unionport,0.08875675011136858
36005020501,Bronx,University Heights-Morris Heights,0.04273674048985326
36005020502,Bronx,University Heights-Morris Heights,0.06723499731188762
36005020601,Bronx,Westchester-Unionport,0.08266926569241946
36005020900,Bronx,West Concourse,0.05030634622617098
36005021001,Bronx,Parkchester,0.096909881572685
36005021002,Bronx,Parkchester,0.14152467559374438
36005021100,Bronx,Highbridge,0.041789794032129526
36005021200,Bronx,Parkchester,0.12335167342290965
36005021301,Bronx,University Heights-Morris Heights,0.022055209486904825
36005021302,Bronx,Highbridge,0.03708326482407595
36005021501,Bronx,University Heights-Morris Heights,0.030347460623486124
36005021502,Bronx,University Heights-Morris Heights,0.019928680196331115
36005021601,Bronx,West Farms-Bronx River,0.06006205384948082
36005021602,Bronx,Parkchester,0.12358381722233831
36005021700,Bronx,University Heights-Morris Heights,0.04338515109059299
36005021800,Bronx,West Farms-Bronx River,0.04988032972169635
36005021900,Bronx,Highbridge,1.5739635027587327e-4
36005022000,Bronx,East Tremont,0.02044519312629477
36005022101,Bronx,West Concourse,0.01881808647863425
36005022102,Bronx,West Concourse,0.01997752772866401
36005022200,Bronx,Parkchester,0.10261288068184958
36005022300,Bronx,West Concourse,0.042189622815205656
36005022401,Bronx,Pelham Parkway,0.09942827325396042
36005022403,Bronx,Pelham Parkway,0.12925606964269098
36005022404,Bronx,Pelham Parkway,0.12497550789237513
36005022500,Bronx,East Concourse-Concourse Village,0.032432033205882525
36005022701,Bronx,Mount Hope,0.045276338430218034
36005022702,Bronx,Mount Hope,0.015781072806369676
36005022703,Bronx,Mount Hope,0.11929483083370272
36005022800,Bronx,Pelham Parkway,0.17169488963227536
36005022901,Bronx,Mount Hope,0.05351749284778981
36005022902,Bronx,Mount Hope,0.027965965542428427
36005023000,Bronx,Van Nest-Morris Park-Westchester Square,0.07277816435402115
36005023100,Bronx,Mount Hope,0.04043345766500637
36005023200,Bronx,Van Nest-Morris Park-Westchester Square,0.08520919698070355
36005023301,Bronx,Mount Hope,0.049646417405971296
36005023302,Bronx,Mount Hope,0.059175542951075834
36005023501,Bronx,Mount Hope,0.04505014792552814
36005023502,Bronx,Mount Hope,0.024937777801848634
36005023600,Bronx,Van Nest-Morris Park-Westchester Square,0.03837877869348494
36005023702,Bronx,Bedford Park-Fordham North,0.030481141620154462
36005023703,Bronx,Fordham South,0.04491033317940253
36005023704,Bronx,Fordham South,0.04076043924856807
36005023800,Bronx,Van Nest-Morris Park-Westchester Square,0.11552903131029651
36005023900,Bronx,Fordham South,0.027781522355122632
36005024000,Bronx,Van Nest-Morris Park-Westchester Square,0.08053953118331565
36005024100,Bronx,Mount Hope,0.04264174723206024
36005024300,Bronx,University Heights-Morris Heights,0.04632788418293264
36005024400,Bronx,Van Nest-Morris Park-Westchester Square,0.13367539690551677
36005024501,Bronx,University Heights-Morris Heights,0.02990474624351596
36005024502,Bronx,University Heights-Morris Heights,0.030480829214493164
36005024600,Bronx,Pelham Parkway,0.19267466381409937
36005024700,Bronx,University Heights-Morris Heights,0.06437570247944258
36005024800,Bronx,Pelham Parkway,0.2002811779019178
36005025000,Bronx,Pelham Parkway,0.15757416798848764
36005025100,Bronx,University Heights-Morris Heights,0.044332088182842636
36005025200,Bronx,Van Nest-Morris Park-Westchester Square,0.14120788060877296
36005025300,Bronx,Kingsbridge Heights,0.035385689374124715
36005025400,Bronx,Van Nest-Morris Park-Westchester Square,0.1638641056560071
36005025500,Bronx,Kingsbridge Heights,0.06619623773297341
36005025600,Bronx,Van Nest-Morris Park-Westchester Square,0.15114416653373355
36005025700,Bronx,University Heights-Morris Heights,0.07801748791698414
36005026100,Bronx,Kingsbridge Heights,0.29008723871347103
36005026300,Bronx,Kingsbridge Heights,0.028011152394363532
36005026400,Bronx,Schuylerville-Throgs Neck-Edgewater Park,0.12703252346287316
36005026500,Bronx,Kingsbridge Heights,0.04756770561060284
36005026601,Bronx,Pelham Bay-Country Club-City Island,0.11048983786567002
36005026602,Bronx,Pelham Bay-Country Club-City Island,0.11249806068505921
36005026701,Bronx,Van Cortlandt Village,0.1233144472157197
36005026702,Bronx,Van Cortlandt Village,0.10495543654919404
36005026900,Bronx,Kingsbridge Heights,0.09554736673468528
36005027300,Bronx,Van Cortlandt Village,0.08052194953097229
36005027401,Bronx,Pelham Bay-Country Club-City Island,0.1188411707657887
36005027402,Bronx,Pelham Bay-Country Club-City Island,0.19532092361081493
36005027700,Bronx,Van Cortlandt Village,0.0782773229102757
36005027900,Bronx,Van Cortlandt Village,0.21310520753341625
36005028100,Bronx,Van Cortlandt Village,0.21872384976732545
