GEOID,n_lanes
36005000200,4
36005000400,4
36005001600,2
36005001900,6
36005002000,5
36005002300,22
36005002400,5
36005002500,13
36005002701,8
36005002702,5
36005002800,8
36005003100,5
36005003300,6
36005003500,4
36005003700,14
36005003800,3
36005003900,18
36005004001,1
36005004100,18
36005004200,1
36005004300,13
36005004400,2
36005004600,3
36005004800,2
36005005001,4
36005005002,4
36005005100,23
36005005200,7
36005005300,10
36005005400,4
36005005600,3
36005005902,9
36005006000,4
36005006100,12
36005006200,1
36005006300,11
36005006400,1
36005006500,16
36005006700,14
36005006800,1
36005006900,11
36005007100,13
36005007300,12
36005007400,6
36005007500,8
36005007600,1
36005007700,3
36005007800,4
36005007900,5
36005008300,5
36005008400,8
36005008500,6
36005008600,6
36005008700,7
36005008900,10
36005009000,10
36005009200,2
36005009300,5
36005009600,3
36005009800,7
36005011000,4
36005011502,11
36005011700,5
36005011900,11
36005012101,6
36005012102,9
36005012300,5
36005012500,9
36005012701,10
36005012901,4
36005013100,8
36005013300,2
36005013500,7
36005014100,5
36005014300,10
36005014500,10
36005014701,11
36005014702,11
36005014900,10
36005015100,9
36005015300,10
36005015500,7
36005015700,7
36005015900,12
36005016100,5
36005016300,8
36005016500,5
36005016600,1
36005016700,4
36005016900,9
36005017100,3
36005017300,10
36005017500,11
36005017701,12
36005017702,7
36005017901,13
36005017902,13
36005018101,13
36005018102,15
36005018301,13
36005018302,13
36005018400,1
36005018500,11
36005018900,12
36005019300,8
36005019400,2
36005019500,12
36005019700,10
36005019900,9
36005020000,3
36005020100,9
36005020200,1
36005020400,2
36005020501,9
36005020502,7
36005020900,5
36005021100,13
36005021301,9
36005021302,8
36005021501,9
36005021502,7
36005021700,4
36005021800,1
36005021900,11
36005022101,11
36005022102,11
36005022300,11
36005022401,2
36005022403,3
36005022404,2
36005022500,6
36005022701,4
36005022702,6
36005022703,5
36005022800,3
36005022901,4
36005022902,3
36005023100,3
36005023301,5
36005023302,3
36005023501,3
36005023502,3
36005023702,5
36005023703,5
36005023704,5
36005023900,5
36005024100,3
36005024300,4
36005024400,1
36005024501,6
36005024502,5
36005024600,4
36005024700,8
36005024800,6
36005024900,5
36005025000,6
36005025100,4
36005025200,2
36005025300,5
36005025400,2
36005025500,4
36005025600,2
36005025700,8
36005026100,6
36005026300,7
36005026400,1
36005026500,7
36005026601,1
36005026602,1
36005026701,6
36005026702,6
36005026900,10
36005027300,13
36005027600,3
36005027700,10
36005027900,11
36005028100,7
36005028300,12
36005028400,2
36005028500,7
36005028600,2
36005028700,13
36005028800,6
36005028900,10
36005029301,2
36005029302,14
36005029500,9
36005029600,4
36005029700,4
36005030000,4
36005030100,2
36005030200,5
36005030701,2
36005031000,4
36005031200,2
36005031400,2
36005031600,6
36005031800,7
36005032400,7
36005032600,7
36005032800,8
36005033000,5
36005033201,4
36005033202,5
36005033400,2
36005033500,5
36005033600,4
36005033800,4
36005034000,7
36005034200,4
36005034400,4
36005034800,4
36005035000,4
36005035100,4
36005035600,1
36005035900,5
36005036000,1
36005036100,5
36005036300,3
36005036400,3
36005036501,4
36005036502,6
36005036700,6
36005036800,3
36005036901,5
36005036902,6
36005037000,3
36005037100,2
36005037200,5
36005037300,3
36005037400,2
36005037504,1
36005037600,2
36005037800,2
36005037900,2
36005038000,3
36005038100,2
36005038200,3
36005038301,4
36005038302,3
36005038500,3
36005038600,1
36005038700,3
36005038800,1
36005038900,1
36005039000,3
36005039100,2
36005039200,2
36005039300,1
36005039400,1
36005039500,4
36005039600,2
36005039700,1
36005039800,3
36005039901,3
36005039902,3
36005040100,8
36005040302,5
36005040303,5
36005040304,6
36005040400,3
36005040501,4
36005040502,2
36005040600,2
36005040701,7
36005040702,2
36005040800,3
36005040900,8
36005041100,6
36005041300,5
36005041400,3
36005041500,3
36005041800,4
36005041900,6
36005042000,3
36005042100,7
36005042200,4
36005042300,4
36005042400,3
36005042500,3
36005042600,3
36005042800,2
36005042901,3
36005042902,3
36005043000,3
36005043100,5
36005043400,2
36005043500,3
36005044800,1
36005044901,1
36005044902,3
36005045101,5
36005045102,4
36005045800,3
36005046000,3
36005050400,2
36047000100,37
36047000200,1
36047000301,22
36047000501,39
36047000502,46
36047000700,24
36047000900,39
36047001100,44
36047001300,47
36047001500,43
36047001800,1
36047002000,1
36047002100,39
36047002200,8
36047002300,44
36047002901,27
36047003000,10
36047003100,24
36047003300,23
36047003400,10
36047003500,19
36047003600,10
36047003700,32
36047003800,7
36047003900,15
36047004100,30
36047004300,28
36047004400,4
36047004500,25
36047004600,5
36047004700,13
36047004900,19
36047005000,5
36047005100,9
36047005201,5
36047005202,5
36047005300,10
36047005400,5
36047005601,5
36047005602,3
36047005800,5
36047005900,14
36047006000,4
36047006200,1
36047006300,14
36047006400,2
36047006500,19
36047006600,7
36047006700,21
36047006800,9
36047006900,25
36047007000,11
36047007100,21
36047007200,10
36047007400,8
36047007500,20
36047007600,3
36047007700,24
36047007800,1
36047008000,3
36047008200,3
36047008400,2
36047008500,16
36047008600,4
36047008800,5
36047009000,6
36047009200,5
36047009400,5
36047009600,4
36047009800,3
36047010000,4
36047010100,3
36047010200,7
36047010400,6
36047010600,2
36047010800,4
36047011000,8
36047011200,8
36047011400,3
36047011600,2
36047011700,17
36047011800,7
36047011900,20
36047012000,7
36047012100,20
36047012200,10
36047012600,10
36047012700,16
36047012801,6
36047012901,18
36047012902,21
36047013000,10
36047013100,16
36047013200,4
36047013300,15
36047013400,7
36047013500,15
36047013600,1
36047013700,11
36047013800,1
36047013900,11
36047014000,1
36047014100,8
36047014200,1
36047014300,5
36047014500,4
36047014700,3
36047014800,1
36047014900,8
36047015100,9
36047015200,2
36047015300,11
36047015400,2
36047015500,22
36047015700,25
36047015900,27
36047016000,1
36047016100,16
36047016200,4
36047016300,24
36047016400,4
36047016500,22
36047016600,1
36047016700,7
36047016800,2
36047016900,7
36047017000,1
36047017100,16
36047017200,1
36047017400,2
36047017500,2
36047017600,1
36047017700,18
36047017900,16
36047018100,21
36047018300,17
36047018501,20
36047018700,17
36047019100,15
36047019300,8
36047019500,12
36047019700,10
36047019900,11
36047020100,15
36047020200,1
36047020300,15
36047020400,1
36047020500,26
36047020600,1
36047020700,26
36047020800,1
36047021100,17
36047021300,11
36047021500,26
36047021700,11
36047021900,11
36047022100,12
36047022200,6
36047022400,7
36047022600,9
36047022700,10
36047022800,6
36047022900,8
36047023000,4
36047023100,11
36047023200,3
36047023300,4
36047023500,9
36047024100,7
36047024300,6
36047024500,10
36047024600,1
36047024700,12
36047024900,12
36047025100,6
36047025300,8
36047025400,1
36047025500,18
36047025600,1
36047025700,16
36047025800,1
36047025901,13
36047025902,15
36047026100,6
36047026300,5
36047026500,3
36047026700,4
36047026900,6
36047027100,6
36047027300,6
36047027500,3
36047027700,3
36047027900,4
36047028000,1
36047028100,8
36047028200,5
36047028300,15
36047028501,15
36047028502,15
36047028600,8
36047028700,10
36047028900,9
36047029000,2
36047029100,8
36047029200,8
36047029300,3
36047029400,8
36047029500,1
36047029600,4
36047029700,5
36047029800,1
36047029900,7
36047030000,5
36047030100,8
36047030200,7
36047030300,10
36047030400,8
36047030500,13
36047030600,3
36047030700,9
36047030800,5
36047030900,6
36047031100,6
36047031300,9
36047031400,4
36047031500,12
36047031701,9
36047031702,7
36047031900,6
36047032100,6
36047032300,8
36047032500,11
36047032600,7
36047032700,11
36047032800,2
36047032900,6
36047033000,1
36047033100,5
36047033300,5
36047033500,5
36047033600,2
36047033700,5
36047033900,6
36047034000,2
36047034100,8
36047034200,2
36047034300,6
36047034500,6
36047034700,11
36047034800,8
36047034900,13
36047035000,6
36047035100,13
36047035200,6
36047035300,9
36047035400,5
36047035500,10
36047035601,6
36047035602,5
36047035700,16
36047035900,14
36047036001,6
36047036002,7
36047036100,13
36047036200,6
36047036300,14
36047036400,6
36047036501,9
36047036502,8
36047036600,3
36047036700,9
36047036900,8
36047037000,3
36047037100,4
36047037300,3
36047037401,1
36047037402,3
36047037500,2
36047037700,1
36047037900,5
36047038100,6
36047038200,1
36047038500,3
36047038600,1
36047038700,10
36047038800,2
36047038900,15
36047039000,1
36047039100,10
36047039200,1
36047039300,10
36047039400,1
36047039500,10
36047039600,2
36047039700,2
36047039800,1
36047039900,2
36047040000,1
36047040100,3
36047040200,1
36047040300,3
36047040400,1
36047040500,5
36047040600,1
36047040700,8
36047040800,1
36047040900,3
36047041000,2
36047041100,3
36047041200,2
36047041300,3
36047041401,2
36047041402,1
36047041500,3
36047041600,1
36047041700,3
36047041800,1
36047041900,6
36047042000,1
36047042100,10
36047042200,2
36047042300,10
36047042400,2
36047042500,9
36047042600,1
36047042700,6
36047042800,1
36047042900,5
36047043000,1
36047043100,4
36047043200,1
36047043300,3
36047043400,2
36047043500,2
36047043600,2
36047043700,3
36047043800,2
36047043900,1
36047044000,1
36047044200,1
36047044400,1
36047044600,2
36047044800,1
36047044900,2
36047045000,3
36047045200,3
36047045400,1
36047045600,4
36047045800,4
36047046000,4
36047046201,4
36047046202,4
36047046400,4
36047047600,3
36047047700,4
36047047800,3
36047048000,4
36047048100,4
36047048200,4
36047048400,4
36047048500,3
36047048600,5
36047048800,6
36047048900,11
36047049000,3
36047049100,12
36047049200,3
36047049300,7
36047049400,14
36047049500,4
36047049600,15
36047049700,4
36047049800,15
36047049900,7
36047050000,21
36047050100,6
36047050202,20
36047050300,8
36047050400,22
36047050500,10
36047050600,17
36047050700,14
36047050801,4
36047050803,8
36047050804,11
36047050900,14
36047051001,2
36047051002,5
36047051100,14
36047051200,3
36047051300,16
36047051400,4
36047051500,8
36047051601,4
36047051602,4
36047051700,13
36047051800,4
36047051900,23
36047052000,2
36047052300,21
36047052500,24
36047052600,2
36047052700,17
36047052800,4
36047052900,20
36047053000,4
36047053100,16
36047053200,3
36047053300,23
36047053400,4
36047053500,26
36047053700,10
36047053800,1
36047053900,13
36047054200,1
36047054300,18
36047054400,1
36047054500,19
36047054600,1
36047054700,20
36047054800,2
36047054900,22
36047055000,2
36047055100,20
36047055200,1
36047055300,22
36047055400,1
36047055500,10
36047055600,1
36047055700,11
36047055800,1
36047056000,1
36047056100,19
36047056200,2
36047056300,18
36047056400,3
36047056500,22
36047056600,3
36047056800,3
36047056900,17
36047057000,3
36047057100,13
36047057200,3
36047057300,19
36047057400,3
36047057500,23
36047057600,1
36047057800,1
36047057900,18
36047058000,1
36047058200,1
36047058400,1
36047058600,1
36047058800,2
36047058900,4
36047059000,2
36047059100,3
36047059200,1
36047059401,1
36047059402,1
36047059600,2
36047059800,3
36047060000,2
36047060600,3
36047060800,4
36047061002,4
36047061003,6
36047061004,5
36047061200,5
36047061600,4
36047062000,4
36047062200,4
36047062600,2
36047062800,4
36047063200,3
36047063600,2
36047063800,3
36047064000,3
36047064200,2
36047064400,2
36047065200,1
36047065400,1
36047065600,1
36047065800,2
36047066000,2
36047066200,2
36047066600,3
36047067000,2
36047067200,1
36047067400,1
36047067600,2
36047067800,2
36047068000,1
36047068200,1
36047068600,1
36047068800,1
36047069000,1
36047069200,1
36047069601,2
36047069800,2
36047070202,1
36047070600,1
36047072000,2
36047072200,2
36047072400,2
36047072600,1
36047072800,2
36047073000,2
36047073200,1
36047073400,1
36047073600,1
36047074000,1
36047074200,2
36047074400,2
36047074600,1
36047074800,2
36047075000,3
36047075200,3
36047075400,1
36047075600,1
36047075800,1
36047076000,1
36047076200,3
36047076400,3
36047076600,5
36047076800,1
36047077000,5
36047077200,5
36047077400,3
36047077600,1
36047078000,1
36047078200,1
36047078400,1
36047078600,4
36047078800,4
36047079000,4
36047079200,4
36047079400,2
36047079601,10
36047079602,4
36047079801,11
36047079802,11
36047080000,8
36047080200,9
36047080400,5
36047080600,4
36047080800,3
36047081000,4
36047081800,1
36047082000,1
36047082200,4
36047082400,2
36047082600,2
36047082800,4
36047083000,4
36047083200,1
36047083400,1
36047083600,2
36047083800,1
36047084000,1
36047084600,1
36047084800,1
36047085000,1
36047085200,1
36047085400,1
36047085600,1
36047085800,1
36047086000,1
36047086200,1
36047086400,1
36047086600,3
36047087401,7
36047087600,7
36047087800,7
36047088000,10
36047088200,9
36047088400,11
36047088600,1
36047088800,1
36047089000,1
36047089200,8
36047089400,4
36047089600,1
36047089800,4
36047090000,7
36047090200,9
36047090600,8
36047090800,7
36047091600,1
36047092200,1
36047092400,10
36047092800,1
36047093000,2
36047093200,3
36047093400,2
36047093600,1
36047093800,1
36047094401,2
36047094402,2
36047094600,1
36047095000,2
36047095400,1
36047096000,2
36047096200,2
36047097000,1
