GEOID,n_lines
36005001900,1
36005002300,3
36005002500,1
36005002701,1
36005002702,1
36005002800,1
36005003100,3
36005003300,1
36005003500,3
36005003700,3
36005003900,3
36005004001,1
36005004100,3
36005004300,3
36005004400,1
36005004800,1
36005005001,1
36005005002,1
36005005100,4
36005005200,1
36005005300,1
36005005400,1
36005005600,1
36005005902,5
36005006000,2
36005006100,5
36005006200,1
36005006300,6
36005006400,1
36005006500,3
36005006700,3
36005006800,1
36005006900,2
36005007000,1
36005007100,2
36005007200,1
36005007300,3
36005007500,2
36005007600,1
36005007700,3
36005007800,1
36005007900,3
36005008300,3
36005008500,3
36005008700,3
36005008900,3
36005009200,1
36005009600,1
36005011502,3
36005011900,3
36005012101,3
36005012102,3
36005012300,3
36005012500,3
36005012701,3
36005012901,3
36005013100,2
36005013300,2
36005013500,2
36005015100,2
36005015300,2
36005015500,2
36005015700,3
36005015900,3
36005016100,2
36005016300,2
36005017100,3
36005017300,3
36005017500,2
36005017701,2
36005017702,2
36005017901,3
36005017902,3
36005018101,3
36005018102,3
36005018301,3
36005018302,3
36005018900,3
36005019300,1
36005019500,3
36005019700,3
36005019900,3
36005020000,1
36005020200,1
36005020400,1
36005020502,1
36005020601,1
36005020900,3
36005021002,1
36005021100,1
36005021200,1
36005021301,1
36005021302,3
36005021501,3
36005021502,3
36005021601,1
36005021602,1
36005021700,3
36005021800,3
36005021900,3
36005022000,2
36005022101,3
36005022102,3
36005022200,1
36005022300,3
36005022401,2
36005022403,2
36005022404,2
36005022500,3
36005022701,3
36005022702,3
36005022703,3
36005022800,2
36005022901,3
36005022902,3
36005023000,2
36005023100,2
36005023200,2
36005023301,3
36005023302,3
36005023501,3
36005023502,3
36005023600,2
36005023702,3
36005023703,3
36005023704,3
36005023900,3
36005024000,2
36005024100,3
36005024300,3
36005024501,1
36005024502,1
36005024600,2
36005024800,2
36005024900,1
36005025000,1
36005025100,3
36005025300,3
36005025500,1
36005025600,1
36005025700,1
36005026100,1
36005026300,3
36005026400,1
36005026500,3
36005026601,1
36005026602,1
36005026701,3
36005026702,1
36005026900,1
36005027300,1
36005027600,1
36005027700,1
36005027900,1
36005028100,1
36005028300,1
36005028400,1
36005028500,1
36005028700,1
36005028800,1
36005028900,1
36005029302,1
36005029500,1
36005030000,1
36005031600,1
36005031800,1
36005032400,2
36005032600,1
36005032800,2
36005033000,2
36005033201,2
36005033202,2
36005033400,2
36005033500,1
36005033600,2
36005033800,2
36005034000,2
36005034200,2
36005034800,1
36005035000,1
36005035100,1
36005035800,1
36005035900,2
36005036000,1
36005036100,2
36005036300,2
36005036400,1
36005036501,2
36005036502,2
36005036700,2
36005036902,2
36005037000,2
36005037200,2
36005037400,2
36005037600,2
36005037800,2
36005037900,3
36005038000,2
36005038100,3
36005038301,3
36005038302,3
36005038500,2
36005038800,2
36005039000,2
36005039200,2
36005039400,2
36005039500,2
36005039600,2
36005039800,2
36005039901,3
36005039902,3
36005040100,3
36005040302,3
36005040303,3
36005040304,3
36005040400,2
36005040501,3
36005040502,3
36005040600,2
36005040701,3
36005040702,3
36005040800,2
36005040900,3
36005041100,3
36005041300,3
36005041400,2
36005041500,3
36005041800,2
36005041900,3
36005042000,2
36005042100,1
36005042200,2
36005042300,2
36005042400,2
36005042500,2
36005042901,3
36005042902,3
36005043000,2
36005043100,1
36005043400,2
36005043600,2
36005044200,2
36005044400,2
36005045101,2
36005046000,1
36005046202,1
36005048400,1
36047000100,10
36047000200,2
36047000301,9
36047000501,10
36047000502,10
36047000700,5
36047000900,9
36047001100,13
36047001300,10
36047001500,11
36047001800,1
36047002000,2
36047002100,9
36047002200,2
36047002300,9
36047002901,10
36047003000,1
36047003100,13
36047003300,13
36047003500,11
36047003600,1
36047003700,11
36047003900,12
36047004100,13
36047004300,11
36047004500,7
36047004900,2
36047005000,1
36047005100,2
36047005202,1
36047005400,1
36047005601,1
36047005602,1
36047005800,1
36047006000,1
36047006200,1
36047006300,2
36047006400,1
36047006500,3
36047006600,1
36047006700,2
36047006800,1
36047006900,4
36047007000,2
36047007100,13
36047007200,2
36047007400,2
36047007500,2
36047007600,2
36047007700,3
36047007800,2
36047008000,1
36047008200,2
36047008400,2
36047008600,2
36047008800,3
36047009000,1
36047009200,1
36047009400,1
36047009600,1
36047009800,1
36047010000,2
36047010100,2
36047010200,2
36047010400,1
36047010600,1
36047010800,1
36047011000,1
36047011200,1
36047011400,1
36047011600,2
36047011700,3
36047011800,1
36047011900,3
36047012000,1
36047012100,3
36047012200,2
36047012600,2
36047012700,12
36047012801,1
36047012901,11
36047012902,11
36047013000,1
36047013100,9
36047013300,5
36047013400,1
36047013500,3
36047013600,1
36047013700,3
36047013800,1
36047013900,3
36047014000,1
36047014100,3
36047014200,1
36047014300,2
36047014500,1
36047014700,1
36047014900,2
36047015100,3
36047015200,1
36047015300,3
36047015500,1
36047015700,5
36047015900,4
36047016000,1
36047016100,10
36047016200,1
36047016300,5
36047016500,5
36047016700,1
36047016900,1
36047017100,1
36047017200,1
36047017500,1
36047017700,3
36047017800,1
36047017900,11
36047018000,1
36047018100,11
36047018200,1
36047018300,2
36047018400,1
36047018501,3
36047018600,1
36047018700,1
36047018800,1
36047019000,2
36047019100,1
36047019200,2
36047019300,1
36047019400,2
36047019500,2
36047019600,2
36047019700,2
36047019800,1
36047019900,4
36047020100,4
36047020300,7
36047020500,6
36047020700,5
36047020800,1
36047021000,1
36047021200,1
36047021300,7
36047021400,2
36047021500,5
36047021600,2
36047021700,5
36047021800,2
36047021900,5
36047022000,1
36047022100,7
36047022200,1
36047022400,1
36047022600,2
36047022700,3
36047022800,1
36047022900,4
36047023000,1
36047023100,4
36047023200,2
36047023300,1
36047023400,1
36047023500,1
36047023600,1
36047023800,2
36047024000,2
36047024100,1
36047024200,2
36047024300,4
36047024400,1
36047024500,4
36047024600,2
36047024700,3
36047024800,2
36047024900,3
36047025000,2
36047025100,1
36047025200,2
36047025300,1
36047025400,1
36047025500,3
36047025600,1
36047025700,3
36047025800,1
36047025901,3
36047025902,4
36047026000,2
36047026100,1
36047026200,2
36047026300,1
36047026400,1
36047026600,1
36047026700,2
36047026800,1
36047026900,2
36047027000,1
36047027100,2
36047027200,1
36047027300,2
36047027400,1
36047027500,2
36047027600,1
36047027700,2
36047027800,1
36047028000,1
36047028100,4
36047028200,1
36047028300,4
36047028400,1
36047028501,4
36047028502,4
36047028600,1
36047028700,3
36047028800,1
36047028900,3
36047029000,1
36047029100,3
36047029200,1
36047029300,1
36047029500,2
36047029600,1
36047029700,2
36047029800,2
36047029900,2
36047030000,1
36047030100,4
36047030200,1
36047030300,2
36047030500,7
36047030600,2
36047030700,2
36047030800,3
36047030900,4
36047031100,2
36047031300,2
36047031400,1
36047031500,4
36047031701,7
36047031702,5
36047031900,3
36047032100,5
36047032300,5
36047032500,7
36047032600,4
36047032700,5
36047032900,3
36047033100,3
36047033300,3
36047033500,3
36047033700,4
36047033900,1
36047034100,3
36047034300,4
36047034500,4
36047034700,4
36047034800,4
36047034900,2
36047035000,4
36047035100,2
36047035200,4
36047035300,2
36047035400,4
36047035500,2
36047035601,3
36047035602,3
36047035700,2
36047035900,2
36047036001,2
36047036002,2
36047036100,1
36047036200,2
36047036400,2
36047036501,4
36047036502,4
36047036600,2
36047036700,5
36047036900,5
36047037000,2
36047037100,5
36047037300,4
36047037401,1
36047037402,1
36047037500,2
36047037700,4
36047037900,4
36047038100,2
36047038200,3
36047038300,4
36047038500,2
36047038600,2
36047038700,2
36047038800,2
36047038900,3
36047039100,4
36047039200,2
36047039300,3
36047039400,3
36047039500,3
36047039600,2
36047039700,2
36047039800,2
36047039900,2
36047040000,2
