GEOID,asian,black,college_pop,hispanic,housing_pop,hs_pop,lesshs_pop,medianhomevalue,medianincome,medianrent,pop,poverty,renter_occupied,white,year
36005000100,207,6107,119,3595,0,1028,4875,NA,NA,NA,10453,0,0,1474,2011
36005000200,160,1414,418,3064,4394,544,337,422900,63449,1278,4403,846,1973,727,2011
36005000400,149,1362,881,3389,5004,813,326,377900,75729,1419,5017,491,1564,614,2011
36005001600,0,2121,517,3159,5007,919,677,455200,33910,837,5263,732,3469,848,2011
36005001900,12,603,156,1109,1667,259,301,320700,26291,1033,1926,889,1561,962,2011
36005002000,0,3402,573,5044,8422,1126,1469,385800,24833,508,8432,2821,7090,1209,2011
36005002300,0,1947,94,3563,5035,821,926,NA,12454,376,5040,2586,5035,1797,2011
36005002400,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,2011
36005002500,24,1213,112,3870,4878,870,1035,410000,14433,476,4878,2476,4813,2404,2011
36005002701,0,1757,135,1856,3128,483,667,NA,24389,581,3128,1399,3128,838,2011
36005002702,0,1793,114,3241,4148,569,910,1000001,19542,704,4674,2089,4087,1100,2011
36005002800,19,4451,618,1685,6054,1018,399,285700,47363,903,6056,722,5285,283,2011
36005003100,15,531,165,781,1243,171,213,90000,37167,944,1243,301,1192,259,2011
36005003300,0,1581,239,2899,3707,414,582,388300,20670,539,3707,1534,3250,1424,2011
36005003500,0,1158,164,3221,4092,631,723,412500,27585,714,4111,1560,3806,1076,2011
36005003700,0,3,0,184,187,57,41,NA,26111,1250,187,42,187,44,2011
36005003800,2,806,231,906,1727,173,175,470800,58750,1115,1727,614,1113,242,2011
36005003900,300,1832,567,5288,7017,934,1626,498500,32875,890,7041,1854,6264,3211,2011
36005004001,351,345,179,403,1545,136,259,397500,48400,992,1545,218,614,426,2011
36005004100,69,2389,307,4575,6558,498,1244,245800,19752,530,6595,3071,6124,2082,2011
36005004200,0,2988,487,3758,6702,933,854,229000,36840,629,6702,1200,6194,658,2011
36005004300,0,1675,340,3997,4803,661,957,427600,26042,708,4822,1940,4224,1307,2011
36005004400,288,1944,234,2496,4248,452,583,675600,16313,385,4450,1990,3838,856,2011
36005004600,0,365,135,1380,1724,183,494,87600,27083,730,1724,323,1471,247,2011
36005004800,212,1191,139,2823,3951,613,809,401400,26114,950,3962,1803,3627,624,2011
36005005001,0,1856,135,3368,4618,910,867,436000,29125,1070,4653,1608,3808,722,2011
36005005002,25,1045,162,4239,5200,613,1101,588100,26126,903,5254,1969,4950,700,2011
36005005100,10,2673,236,2845,5089,860,1107,NA,16580,453,5135,2249,5089,839,2011
36005005200,83,565,79,1052,1685,354,383,NA,27875,811,1685,622,1571,122,2011
36005005300,0,2153,317,1433,3610,534,484,NA,16410,688,3610,1587,3610,325,2011
36005005400,51,1467,188,4749,6132,1024,1423,457500,30082,1043,6138,2364,4871,1024,2011
36005005600,27,812,138,1511,2300,472,477,679200,26964,924,2300,664,1855,315,2011
36005005902,0,988,235,1636,2426,377,318,158200,35666,974,2426,638,1996,547,2011
