year,GEOID,C000,CA01,CA02,CA03,CE01,CE02,CE03,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,CR01,CR02,CR03,CR04,CR05,CR07,CT01,CT02,CD01,CD02,CD03,CD04,CS01,CS02,CFA01,CFA02,CFA03,CFA04,CFA05,CFS01,CFS02,CFS03,CFS04,CFS05,Borough,NTA
2009,36005000200,38,12,22,4,18,16,4,0,0,0,0,0,0,17,21,0,0,0,0,0,0,0,0,0,0,0,0,29,7,0,1,1,0,8,30,12,4,9,1,29,9,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Castle Hill-Clason Point-Harding Park
2009,36005000400,225,88,96,41,130,65,30,0,0,0,7,0,0,12,0,0,8,0,0,0,12,0,7,0,0,179,0,132,70,2,18,1,2,155,70,24,33,43,37,102,123,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Castle Hill-Clason Point-Harding Park
2009,36005001600,575,98,361,116,106,311,158,0,0,0,4,0,3,34,3,5,0,48,4,0,0,5,465,1,0,3,0,236,285,9,28,0,17,323,252,78,112,166,121,190,385,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Castle Hill-Clason Point-Harding Park
2009,36005001900,4393,898,2743,752,680,1802,1911,0,0,5,661,1163,1195,169,328,24,12,42,24,2,196,1,89,16,93,373,0,2863,1061,68,270,22,109,2516,1877,828,847,1061,759,3322,1071,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2009,36005002000,53,11,32,10,15,24,14,0,0,0,0,0,1,25,0,0,0,0,1,0,0,0,20,0,2,4,0,22,6,0,17,0,8,32,21,9,12,8,13,31,22,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Castle Hill-Clason Point-Harding Park
2009,36005002300,23,3,10,10,3,12,8,0,0,0,0,0,13,0,0,0,0,0,0,0,4,0,0,0,0,6,0,18,4,0,0,0,1,9,14,3,5,6,6,15,8,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2009,36005002400,129,50,62,17,30,78,21,0,0,0,0,0,1,117,0,0,4,0,0,0,0,0,0,0,5,2,0,79,21,1,24,0,4,68,61,22,21,21,15,66,63,0,0,0,0,0,0,0,0,0,0,Bronx,park-cemetery-etc-Bronx
2009,36005002500,167,30,100,37,73,63,31,0,0,0,1,0,0,38,0,1,2,31,0,1,5,17,29,1,29,12,0,100,34,5,25,0,3,56,111,44,36,28,29,85,82,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2009,36005002701,65,16,35,14,34,29,2,0,0,0,0,9,0,38,2,1,0,1,0,0,0,0,0,0,5,9,0,39,10,1,11,1,3,26,39,14,15,10,10,38,27,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2009,36005002702,651,138,397,116,149,265,237,0,0,0,127,27,11,159,41,0,48,108,0,0,0,13,74,0,5,38,0,397,193,6,38,4,13,342,309,125,137,165,86,442,209,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2009,36005002800,355,104,191,60,106,139,110,0,0,0,50,0,45,10,1,0,0,123,3,0,2,0,18,0,55,48,0,205,109,7,21,5,8,160,195,74,63,72,42,258,97,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Castle Hill-Clason Point-Harding Park
2009,36005003100,514,125,322,67,115,205,194,0,2,0,196,25,131,81,2,0,0,7,3,1,4,0,10,0,23,29,0,308,168,11,21,1,5,349,165,83,116,115,75,402,112,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2009,36005003300,238,41,137,60,68,90,80,0,0,0,6,19,0,47,12,2,1,16,1,76,49,0,0,0,9,0,0,171,49,1,10,1,6,120,118,43,55,53,46,151,87,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2009,36005003500,337,53,218,66,99,174,64,0,0,0,7,120,56,34,0,0,0,3,25,0,13,0,72,0,5,2,0,205,87,8,23,0,14,162,175,84,64,78,58,219,118,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2009,36005003700,22,3,16,3,4,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,7,14,0,0,0,1,15,7,2,7,5,5,10,12,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2009,36005003800,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Castle Hill-Clason Point-Harding Park
2009,36005003900,457,122,267,68,134,232,91,0,0,0,1,0,19,76,1,0,6,34,21,0,3,19,214,0,46,17,0,311,80,4,48,0,14,196,261,76,79,98,82,181,276,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2009,36005004001,51,33,15,3,40,10,1,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,1,0,42,2,0,13,32,0,4,0,2,36,15,5,5,5,3,30,21,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Bruckner
2009,36005004100,426,177,196,53,206,127,93,0,0,0,8,0,1,27,0,7,0,1,2,1,0,41,327,0,6,5,0,201,196,6,15,1,7,227,199,55,55,84,55,136,290,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2009,36005004200,2251,958,1136,157,672,704,875,0,0,0,0,0,11,719,2,1272,24,39,11,0,7,1,19,0,133,13,0,1026,1029,25,117,7,47,1431,820,201,333,423,336,1257,994,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Castle Hill-Clason Point-Harding Park
2009,36005004300,1167,236,690,241,348,565,254,0,0,0,27,0,7,88,0,6,10,20,9,5,22,13,841,0,44,75,0,588,472,14,62,2,29,575,592,208,221,310,192,409,758,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2009,36005004400,1877,366,998,513,464,1007,406,0,0,0,0,0,5,196,3,2,8,3,2,2,12,0,1406,0,230,8,0,552,1080,13,189,7,36,1492,385,257,376,507,371,602,1275,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Bruckner
2009,36005004600,157,60,80,17,83,59,15,0,0,0,0,0,0,94,2,1,16,24,0,0,0,0,0,0,2,18,0,83,59,1,10,0,4,76,81,31,19,27,20,95,62,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Castle Hill-Clason Point-Harding Park
2009,36005004800,128,43,70,15,63,44,21,0,0,0,0,0,0,48,0,0,21,6,10,0,7,0,0,0,35,1,0,71,32,2,16,0,7,73,55,22,24,23,16,73,55,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Bruckner
2009,36005005001,27,1,16,10,12,12,3,0,0,0,0,0,0,14,2,0,0,11,0,0,0,0,0,0,0,0,0,21,4,1,0,0,1,6,21,14,3,4,5,21,6,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Bruckner
2009,36005005002,199,63,104,32,119,53,27,0,0,0,0,2,2,109,0,1,21,22,0,0,0,0,7,0,34,1,0,118,49,2,19,2,9,93,106,51,35,31,19,96,103,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Bruckner
2009,36005005100,2718,554,1794,370,567,1040,1111,0,0,0,558,407,82,212,471,5,14,34,12,0,450,27,103,0,137,206,0,1821,665,32,132,8,60,1539,1179,508,542,640,474,1988,730,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2009,36005005200,1075,224,610,241,211,471,393,0,0,0,144,1,540,200,114,0,0,48,0,0,1,0,0,0,6,21,0,748,251,11,41,4,20,693,382,180,230,249,192,820,255,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Bruckner
2009,36005005300,93,7,67,19,10,71,12,0,0,0,0,0,1,10,0,0,0,64,0,0,0,0,15,0,0,3,0,41,49,0,1,1,1,53,40,20,39,18,9,72,21,0,0,0,0,0,0,0,0,0,0,Bronx,University Heights-Morris Heights
2009,36005005400,238,51,149,38,111,99,28,0,0,0,5,25,0,82,2,1,3,3,0,0,1,4,55,0,36,21,0,139,34,4,56,0,5,125,113,66,31,40,50,132,106,0,0,0,0,0,0,0,0,0,0,Bronx,West Farms-Bronx River
2009,36005005600,35,11,23,1,29,5,1,0,0,0,0,0,1,10,8,0,0,0,0,0,2,0,11,0,0,3,0,23,7,3,1,0,1,12,23,10,5,7,2,21,14,0,0,0,0,0,0,0,0,0,0,Bronx,West Farms-Bronx River
2009,36005005902,331,68,193,70,70,109,152,0,0,0,1,0,13,19,0,3,0,43,68,0,10,126,29,1,3,15,0,241,52,1,26,2,9,209,122,36,52,85,90,168,163,0,0,0,0,0,0,0,0,0,0,Bronx,East Concourse-Concourse Village
2009,36005006000,1281,373,726,182,308,275,698,0,0,0,21,81,15,25,0,2,10,9,21,0,11,0,4,1069,1,12,0,948,245,12,49,1,26,915,366,124,202,298,284,639,642,0,0,0,0,0,0,0,0,0,0,Bronx,Crotona Park East
2009,36005006100,644,269,290,85,273,244,127,0,0,0,0,0,0,274,0,93,0,81,5,2,3,97,28,0,59,2,0,353,214,8,52,2,15,388,256,74,90,113,98,318,326,0,0,0,0,0,0,0,0,0,0,Bronx,East Concourse-Concourse Village
2009,36005006200,100,31,57,12,56,38,6,0,0,0,3,0,0,29,0,0,12,8,0,0,0,0,3,0,25,20,0,62,22,1,14,1,0,45,55,28,15,16,10,46,54,0,0,0,0,0,0,0,0,0,0,Bronx,West Farms-Bronx River
2009,36005006300,2088,398,1156,534,399,944,745,0,0,0,57,421,108,112,377,113,25,77,27,0,50,209,85,189,161,77,0,1384,528,20,111,8,37,1388,700,371,431,487,401,1370,718,0,0,0,0,0,0,0,0,0,0,Bronx,West Concourse
