BOROUGH,Job Type,Block,Lot,Community Board,Zip Code,Bldg Type,Residential,Special District 1,Special District 2,Work Type,Permit Status,Filing Status,Permit Type,Filing Date,Issuance Date,Expiration Date,Job Start Date,Owner's Business Type,Non-Profit,LATITUDE,LONGITUDE,COUNCIL_DISTRICT,CENSUS_TRACT,NTA_NAME
MANHATTAN,NB,1132,20,107,10023,2,,L,,,ISSUED,INITIAL,NB,1/20/11,1/21/11,12/1/11,1/21/11,CORPORATION,Y,40.771694,-73.984855,3,145,Lincoln Square
MANHATTAN,NB,1132,20,107,10023,2,,,,PL,ISSUED,INITIAL,PL,7/1/11,7/1/11,6/30/12,7/1/11,CORPORATION,Y,40.771694,-73.984855,3,145,Lincoln Square
QUEENS,NB,4687,21,407,11357,1,YES,,,EQ,ISSUED,INITIAL,EQ,5/3/10,5/5/10,3/17/11,5/5/10,INDIVIDUAL,N,40.781932,-73.813118,19,1033,Whitestone
QUEENS,NB,4687,21,407,11357,1,YES,,,,ISSUED,INITIAL,FO,5/5/10,5/5/10,3/17/11,5/5/10,INDIVIDUAL,N,40.781932,-73.813118,19,1033,Whitestone
QUEENS,NB,4687,21,407,11357,1,YES,,,,ISSUED,INITIAL,FO,5/5/10,5/5/10,3/17/11,5/5/10,INDIVIDUAL,N,40.781932,-73.813118,19,1033,Whitestone
QUEENS,NB,4687,21,407,11357,1,YES,,,,ISSUED,INITIAL,NB,5/5/10,5/5/10,3/17/11,5/5/10,INDIVIDUAL,N,40.781932,-73.813118,19,1033,Whitestone
QUEENS,NB,4687,21,407,11357,1,,,,,ISSUED,INITIAL,NB,5/11/10,5/11/10,3/17/11,5/11/10,INDIVIDUAL,N,40.781932,-73.813118,19,1033,Whitestone
QUEENS,NB,4687,21,407,11357,1,,,,PL,ISSUED,INITIAL,PL,10/7/10,10/7/10,10/7/11,10/7/10,INDIVIDUAL,N,40.781932,-73.813118,19,1033,Whitestone
QUEENS,NB,4687,21,407,11357,1,YES,,,PL,ISSUED,INITIAL,PL,10/7/10,10/7/10,10/7/11,10/7/10,INDIVIDUAL,N,40.781932,-73.813118,19,1033,Whitestone
BROOKLYN,NB,2486,1,301,11222,2,,,,,ISSUED,INITIAL,NB,5/27/11,5/27/11,1/15/12,5/27/11,OTHER GOV'T AGENCY,Y,40.735852,-73.959254,33,563,Greenpoint
