Station_Name,Station_Latitude,Station_Longitude,Route_1,Route_2,Route_3,Route_4,Route_5,Route_6,Route_7,Route_8,Route_9,Route_10,Route_11
Ditmars Blvd,40.775036,-73.912034,N,Q,,,,,,,,,
Ditmars Blvd,40.775036,-73.912034,N,Q,,,,,,,,,
Ditmars Blvd,40.775036,-73.912034,N,Q,,,,,,,,,
Ditmars Blvd,40.775036,-73.912034,N,Q,,,,,,,,,
Astoria Blvd-Hoyt Av,40.770258,-73.917843,N,Q,,,,,,,,,
Astoria Blvd-Hoyt Av,40.770258,-73.917843,N,Q,,,,,,,,,
Astoria Blvd-Hoyt Av,40.770258,-73.917843,N,Q,,,,,,,,,
Astoria Blvd-Hoyt Av,40.770258,-73.917843,N,Q,,,,,,,,,
30 Av-Grand Av,40.766779,-73.921479,N,Q,,,,,,,,,
30 Av-Grand Av,40.766779,-73.921479,N,Q,,,,,,,,,
30 Av-Grand Av,40.766779,-73.921479,N,Q,,,,,,,,,
30 Av-Grand Av,40.766779,-73.921479,N,Q,,,,,,,,,
Broadway,40.76182,-73.925508,N,Q,,,,,,,,,
Broadway,40.76182,-73.925508,N,Q,,,,,,,,,
Broadway,40.76182,-73.925508,N,Q,,,,,,,,,
36 Av-Washington Av,40.756804,-73.929575,N,Q,,,,,,,,,
36 Av-Washington Av,40.756804,-73.929575,N,Q,,,,,,,,,
36 Av-Washington Av,40.756804,-73.929575,N,Q,,,,,,,,,
39 Av-Beebe Av,40.752882,-73.932755,N,Q,,,,,,,,,
39 Av-Beebe Av,40.752882,-73.932755,N,Q,,,,,,,,,
5th Av,40.764811,-73.973347,N,Q,R,,,,,,,,
5th Av,40.764811,-73.973347,N,Q,R,,,,,,,,
5th Av,40.764811,-73.973347,N,Q,R,,,,,,,,
5th Av,40.764811,-73.973347,N,Q,R,,,,,,,,
57th St,40.764664,-73.980658,N,Q,R,,,,,,,,
57th St,40.764664,-73.980658,N,Q,R,,,,,,,,
57th St,40.764664,-73.980658,N,Q,R,,,,,,,,
57th St,40.764664,-73.980658,N,Q,R,,,,,,,,
49th St,40.759901,-73.984139,N,Q,R,,,,,,,,
49th St,40.759901,-73.984139,N,Q,R,,,,,,,,
28th St,40.745494,-73.988691,N,R,,,,,,,,,
28th St,40.745494,-73.988691,N,R,,,,,,,,,
23rd St,40.741303,-73.989344,N,R,,,,,,,,,
23rd St,40.741303,-73.989344,N,R,,,,,,,,,
23rd St,40.741303,-73.989344,N,R,,,,,,,,,
23rd St,40.741303,-73.989344,N,R,,,,,,,,,
